Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Comoros,COM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,141.1149588,76.90676106,78.84491343,95.48545036,98.22150694,100.9274091,93.28461946,89.42166125,84.33754657,88.79933862,87.63594968,81.05580527,85.74253692,88.40448334,87.67539562,89.39603029,89.54717007,90.67282709,92.57789475,90.25303642,92.13709922,95.84545761,93.61351761,87.56160541,84.81323775,84.70388336,85.29568043,86.52032081,89.12329013,90.27624533,100,101.8159639,106.1897507,110.5664875,106.4226919,114.7534153,113.9678762,108.5368152,106.1203519,106.7463408,107.8641489,97.99300654,99.78691288,114.9661455
Caribbean small states,CSS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,111.61645,107.8515047,105.3325648,103.0987037,102.1425086,102.3042859,98.20430012,93.28136943,92.4313869,90.67953707,89.12035989,88.6924249,91.55096779,91.29882765,93.59703698,94.71666535,93.78877168,92.22089099,95.66540937,93.76839097,91.14667808,92.10771071,94.89974274,101.5189754,103.0198235,102.3778279,101.7324542,100.9417971,103.7607077,104.6767363,100,100.0575201,97.37321047,97.38304905,96.59370446,88.18687353,87.45066524,87.53067834,89.20251478,87.47805298,87.63011133,87.72162194,86.59539974,88.21607351
Czechia,CZE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.04968627,43.11096554,45.08979108,52.21521391,55.22102963,57.00299973,60.65623585,61.58352954,67.17072879,66.00024437,67.04732855,71.23461053,79.43243544,78.0353095,78.79469702,83.16685917,87.61820509,90.03552177,103.5032302,99.33464749,100,101.8684838,98.41193697,96.43928289,90.85518349,88.60855613,90.96166641,94.8676118,99.24573813,99.58918309,100.2437293,104.880684,115.26341,125.8857221
Germany,DEU,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,121.2385213,114.6382388,104.8305749,106.7435232,107.4107998,102.6735162,99.92462218,105.8047993,109.2721273,107.0498648,104.6692821,107.8126135,105.941875,110.9109215,115.2439729,116.0232127,121.2488896,116.8435481,110.2152454,110.3921568,106.915686,99.70316777,99.72791143,100.7858059,106.1541842,107.6527649,105.2217095,104.2584777,105.7694811,105.8819443,106.4632247,100,98.8974582,95.23716112,97.60586688,98.26736332,92.49973013,94.08301482,94.90055989,97.04939487,95.47088572,96.35404794,97.13995968,93.7213134,97.1443097
Djibouti,DJI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
